com.apple.ClassroomKit.ScreenshotService,System/Library/PrivateFrameworks/ClassroomKit.framework/XPCServices/ScreenshotService.xpc/ScreenshotService
com.apple.CloudDocs.MobileDocumentsFileProvider,System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/com.apple.CloudDocs.MobileDocumentsFileProvider
com.apple.CloudDocs.MobileDocumentsFileProviderUI,System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProviderUI.appex/com.apple.CloudDocs.MobileDocumentsFileProviderUI
com.apple.CloudDocsDaemon.container-metadata-extractor,System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/ContainerMetadataExtractor
com.apple.CloudDocsDaemon.diagnostic,System/Library/PrivateFrameworks/CloudDocsDaemon.framework/PlugIns/CloudDocsDiagnostic.appex/CloudDocsDiagnostic
com.apple.CloudDocsUI.AddToiCloudDrive,System/Library/PrivateFrameworks/CloudDocsUI.framework/PlugIns/com.apple.CloudDocsUI.AddToiCloudDrive.appex/com.apple.CloudDocsUI.AddToiCloudDrive
com.apple.CloudDocsUI.CloudSharing,System/Library/PrivateFrameworks/CloudDocsUI.framework/PlugIns/com.apple.CloudDocsUI.CloudSharing.appex/com.apple.CloudDocsUI.CloudSharing
com.apple.CloudDocsUI.DocumentPicker,System/Library/PrivateFrameworks/CloudDocsUI.framework/PlugIns/com.apple.CloudDocsUI.DocumentPicker.appex/com.apple.CloudDocsUI.DocumentPicker
com.apple.CloudPhotoDerivativeGenerator,System/Library/PrivateFrameworks/CloudPhotoServices.framework/Support/CloudPhotoDerivativeGenerator
com.apple.CommCenter.CallsProvider.xpc,System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
com.apple.CompanionLink,usr/libexec/rapportd
com.apple.CompassCalibration,System/Library/PrivateFrameworks/CompassUI.framework/XPCServices/CompassCalibration.xpc/CompassCalibration
com.apple.ContactsUI.ContactViewViewService,System/Library/Frameworks/ContactsUI.framework/PlugIns/ContactViewViewService.appex/ContactViewViewService
com.apple.ContactsUI.ContactsViewService,System/Library/Frameworks/ContactsUI.framework/PlugIns/ContactsViewService.appex/ContactsViewService
com.apple.CoreAuthentication.daemon,System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
com.apple.CoreAuthentication.daemon.libxpc,System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
com.apple.CoreCDPUI.CDPFollowUpExtension,System/Library/PrivateFrameworks/CoreCDPUI.framework/PlugIns/CDPFollowUpExtension.appex/CDPFollowUpExtension
